ID_Produto,Nome_Produto,Categoria,Estoque
1,Smartphone Samsung Galaxy,Eletrônicos,25.0
2,Notebook Dell Inspiron,,
3,Headphone Sony WH-1000XM4,Eletrônicos,50.0
4,Smart TV LG OLED,,
5,Cafeteira Nespresso,Eletrodomésticos,
6,Fritadeira Airfryer Mondial,,
7,Geladeira Brastemp Frost Free,Eletrodomésticos,
8,Micro-ondas Electrolux,Eletrodomésticos,20.0
9,Aspirador de Pó RoboVac,,
10,Monitor Gamer Samsung,Eletrônicos,
11,Cadeira de Escritório Ergonomica,Móveis,
12,Ventilador Arno Turbo,,
13,Smartwatch Apple,Eletrônicos,
14,Tablet Samsung Galaxy Tab,,30.0
15,Impressora HP DeskJet,,
16,Mouse Gamer Logitech,Eletrônicos,
17,Teclado Mecânico Razer,Eletrônicos,40.0
18,Caixa de Som JBL,,
19,Fogão 5 Bocas Consul,Eletrodomésticos,
20,Purificador de Água Europa,Eletrodomésticos,
